"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          84,      -6.624557469,      -6.236992205,      -6.714425305,      -6.766053237,      -6.021982428,      -9.574108839
          0,           0,          85,       -6.63593772,      -6.241527895,      -6.725055007,      -6.776178853,      -6.033835407,      -9.572939887
          0,           0,          86,      -6.646147647,      -6.246410947,      -6.735536982,      -6.786477429,      -6.044341015,      -9.571880034
          0,           0,          87,       -6.65539976,       -6.25159212,      -6.745733742,      -6.796695118,      -6.053629828,      -9.570966465
          0,           0,          88,      -6.663977574,      -6.257014394,      -6.755500111,      -6.806540619,      -6.061948614,      -9.570183506
          0,           0,          89,      -6.672196644,      -6.262624086,      -6.764717426,      -6.815739348,      -6.069625071,      -9.569531397
          0,           0,          90,       -6.68038883,      -6.268421531,      -6.773329653,      -6.824096827,      -6.077047651,      -9.569020218
          0,           0,          91,       -6.68885164,      -6.274329092,      -6.781364795,      -6.831538944,      -6.084598397,      -9.568634707
          0,           0,          92,      -6.697840103,      -6.280310753,      -6.788929944,       -6.83813716,      -6.092627143,      -9.568365303
          0,           0,          93,      -6.707576525,      -6.286311493,       -6.79619729,       -6.84411932,      -6.101450469,      -9.568198846
          0,           0,          94,      -6.718208285,      -6.292289011,      -6.803376413,      -6.849778732,       -6.11128853,      -9.568112561
          0,           0,          95,      -6.729790727,      -6.298208078,       -6.81068541,      -6.855444147,      -6.122244284,      -9.568088285
          0,           0,          96,      -6.742338201,      -6.304015011,      -6.818322838,      -6.861451083,      -6.134357668,       -9.56810622
          0,           0,          97,      -6.755799276,      -6.309666911,      -6.826446402,      -6.868075723,      -6.147575376,      -9.568151185
          0,           0,          98,      -6.770047487,      -6.315124639,      -6.835157713,      -6.875507861,      -6.161743897,      -9.568209249
          0,           0,          99,      -6.784954029,      -6.320352575,      -6.844497423,      -6.883866947,      -6.176690478,      -9.568270083
          0,           0,         100,      -6.800305945,      -6.325326143,      -6.854441382,      -6.893158288,      -6.192140788,      -9.568319281
          0,           0,         101,       -6.81592435,      -6.330027052,      -6.864910426,       -6.90330488,      -6.207849571,      -9.568345045
          0,           0,         102,      -6.831615956,      -6.334453116,      -6.875779764,       -6.91414843,      -6.223557424,      -9.568334548
          0,           0,         103,      -6.847184791,      -6.338611016,      -6.886895485,      -6.925482974,      -6.239018316,      -9.568275061
          0,           0,         104,       -6.86243435,      -6.342521116,      -6.898092943,      -6.937074794,      -6.254011038,       -9.56816293
          0,           0,         105,      -6.877174669,       -6.34621238,      -6.909215614,      -6.948689065,      -6.268351363,      -9.567994516
          0,           0,         106,       -6.89122628,      -6.349720083,      -6.920136985,       -6.96012391,        -6.2818963,      -9.567763513
          0,           0,         107,      -6.904423309,      -6.353081801,      -6.930773227,       -6.97123619,      -6.294541258,      -9.567468524
          0,           0,         108,      -6.916619615,      -6.356334173,      -6.941089616,        -6.9819547,      -6.306214799,      -9.567106642
          0,           0,         109,      -6.927697162,      -6.359511705,       -6.95109677,      -6.992279354,       -6.31687226,      -9.566679309
          0,           0,         110,      -6.937577052,       -6.36264645,      -6.960839505,      -7.002267203,      -6.326490951,      -9.566190397
          0,           0,         111,      -6.946228687,      -6.365769557,      -6.970385845,      -7.012028716,      -6.335068858,      -9.565643714
          0,           0,         112,      -6.953747968,       -6.36891071,      -6.979812937,      -7.021692557,      -6.342697932,      -9.565039911
          0,           0,         113,      -6.960286547,      -6.372098706,      -6.989191344,      -7.031362029,      -6.349491488,      -9.564388151
          0,           0,         114,      -6.966031801,       -6.37535737,      -6.998572819,      -7.041121258,      -6.355578372,      -9.563698165
          0,           0,         115,        -6.9712118,      -6.378706018,      -7.007982955,      -7.051017531,      -6.361120715,      -9.562977755
          0,           0,         116,      -6.976060534,      -6.382169817,      -7.017419253,      -7.061051655,      -6.366288697,      -9.562237797
          0,           0,         117,      -6.980806385,      -6.385748221,      -7.026853774,       -7.07117722,      -6.371257886,      -9.561485595
          0,           0,         118,       -6.98565557,       -6.38944718,      -7.036243011,      -7.081308186,      -6.376198946,      -9.560728751
          0,           0,         119,      -6.990785523,      -6.393256274,       -7.04553917,       -7.09133806,      -6.381274102,      -9.559981962
          0,           0,         120,       -6.99633895,      -6.397161404,      -7.054703211,      -7.101163855,      -6.386632734,      -9.559242992
          0,           0,         121,      -7.002418258,      -6.401194725,      -7.063716091,      -7.110709345,      -6.392402185,      -9.558520772
          0,           0,         122,      -7.009089247,      -6.405308671,      -7.072584796,      -7.119940936,      -6.398684825,      -9.557823233
          0,           0,         123,      -7.016369581,      -6.409476321,      -7.081343496,      -7.128873983,      -6.405540896,      -9.557148681
          0,           0,         124,      -7.024235688,      -6.413708327,      -7.090050087,      -7.137575777,      -6.412988204,      -9.556500676
          0,           0,         125,      -7.032635921,      -6.417965685,      -7.098779712,      -7.146150578,      -6.421008981,      -9.555881263
          0,           0,         126,      -7.041482421,       -6.42222524,      -7.107613839,      -7.154726268,       -6.42953953,      -9.555290292
          0,           0,         127,       -7.05066245,      -6.426464984,       -7.11662861,      -7.163431969,      -6.438478939,      -9.554726516
          0,           0,         128,      -7.060045393,      -6.430662618,      -7.125885444,      -7.172382867,      -6.447695612,      -9.554188145
          0,           0,         129,      -7.069490058,      -6.434796469,      -7.135424946,      -7.181666542,      -6.457035953,      -9.553672047
          0,           0,         130,      -7.078849322,      -6.438846584,      -7.145261911,      -7.191334332,      -6.466332296,      -9.553176983
          0,           0,         131,      -7.087975305,      -6.442795598,      -7.155384038,      -7.201396986,      -6.475411696,      -9.552699758
          0,           0,         132,      -7.096725042,      -6.446629324,      -7.165753869,      -7.211827083,      -6.484106924,       -9.55223649
          0,           0,         133,      -7.104993099,      -6.450337557,      -7.176314481,      -7.222562829,      -6.492294654,       -9.55178437
