"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          96,      -4.144679703,      -3.352751294,      -3.359990116,      -2.097119877,      -10.28961546
          0,           0,          97,      -4.140318771,      -3.348469619,       -3.35494723,      -2.092863776,       -10.2844615
          0,           0,          98,      -4.135929203,       -3.34427607,      -3.350089562,      -2.088578798,      -10.27925771
          0,           0,          99,      -4.131520053,      -3.340172233,      -3.345416745,       -2.08427365,      -10.27397432
          0,           0,         100,      -4.127101034,      -3.336159931,      -3.340927461,      -2.079957764,       -10.2685474
          0,           0,         101,       -4.12268233,      -3.332240771,      -3.336619501,      -2.075641118,      -10.26300053
          0,           0,         102,      -4.118274475,      -3.328415656,      -3.332489794,      -2.071334121,      -10.25736769
          0,           0,         103,      -4.113888191,      -3.324684264,      -3.328534357,       -2.06704746,      -10.25166306
          0,           0,         104,      -4.109534241,      -3.321044564,       -3.32474823,      -2.062791953,      -10.24586663
          0,           0,         105,       -4.10522326,      -3.317492412,      -3.321125386,      -2.058578386,      -10.24003347
          0,           0,         106,      -4.100965571,      -3.314021261,      -3.317658652,      -2.054417321,      -10.23414504
          0,           0,         107,      -4.096770988,      -3.310622034,      -3.314339645,        -2.0503189,      -10.22815241
          0,           0,         108,      -4.092648617,      -3.307283153,      -3.311158781,      -2.046292629,      -10.22206853
          0,           0,         109,      -4.088606643,       -3.30399079,      -3.308105333,      -2.042347152,      -10.21594937
          0,           0,         110,      -4.084652144,      -3.300729306,      -3.305167572,      -2.038490043,      -10.20976584
          0,           0,         111,      -4.080790901,      -3.297481893,      -3.302332963,      -2.034727589,      -10.20357587
          0,           0,         112,      -4.077027269,      -3.294231386,      -3.299588468,      -2.031064634,      -10.19744102
          0,           0,         113,      -4.073364077,      -3.290961177,      -3.296920886,      -2.027504437,       -10.1913727
          0,           0,         114,      -4.069802573,      -3.287656228,      -3.294317268,      -2.024048584,      -10.18528682
          0,           0,         115,      -4.066342453,       -3.28430405,      -3.291765353,      -2.020696979,      -10.17905632
