"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         42,           9,      -7.013094484,      -3.827236812,      -3.995184879,      -1.531109264,       -2.90089708,      0.9329898399,      0.1603143737,     -0.7019048645,                 0,                 0,                 0,    -0.09972838365,      0.2328051917,     -0.6813023411,                 0,      -4.378302758,    0.007845529615,     -0.3012974712,     -0.2542373132,     -0.2271144072,     -0.3232249492,     -0.8938118879,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           9,       -7.00529295,      -3.834427264,      -3.962770728,      -1.529795491,      -2.921932201,      0.9329898399,      0.1574497494,     -0.6739148444,                 0,                 0,                 0,    -0.07415765049,      0.2270305062,      -0.653765088,                 0,       -4.28019001,    0.009077992044,     -0.2751541085,     -0.2574741735,     -0.2284458729,     -0.2886226503,      -0.875295351,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           9,      -7.030957395,      -3.875733495,      -3.973229263,       -1.55533424,       -2.94072597,      0.9329898399,      0.1519294869,     -0.6328999288,                 0,                 0,                 0,    -0.04617932303,      0.2172532582,      -0.613551881,                 0,       -4.16574782,     0.01032090406,     -0.2916551372,     -0.3021185735,     -0.2717967485,     -0.2892169236,     -0.8435289305,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -7.020642528,      -3.871422858,      -3.941519554,      -1.545728024,      -2.964033816,      0.9329898399,      0.1478689999,     -0.6093935015,                 0,                 0,                 0,    -0.02891529359,      0.2107579243,     -0.5905986608,                 0,      -4.121171455,     0.01156795776,     -0.2871944256,     -0.3145248478,     -0.2822307498,     -0.2657311508,     -0.8187443034,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,           9,      -7.009269209,      -3.864945009,      -3.918926771,      -1.534429052,      -2.976888111,      0.9329898399,      0.1449459748,     -0.6009496225,                 0,                 0,                 0,    -0.02085238147,      0.2069682861,     -0.5825065776,                 0,      -4.146024912,    0.008472385719,     -0.2743582856,     -0.3262350877,     -0.2928862252,     -0.2381185952,     -0.8022740914,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,           9,       -6.99603488,      -3.855620101,      -3.899895265,      -1.518171876,       -2.98494184,      0.9329898399,      0.1420727793,     -0.5986418167,                 0,                 0,                 0,    -0.01815094512,      0.2038695989,     -0.5805117449,                 0,       -4.21362783,    0.009753430336,     -0.2750239547,     -0.3372252679,     -0.3017958788,     -0.2283393622,     -0.8216141721,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,           9,      -6.986818645,      -3.846925235,      -3.887827973,      -1.504008456,      -2.994837029,      0.9329898399,      0.1383314472,      -0.591035536,                 0,                 0,                 0,    -0.01589294214,      0.1993536894,     -0.5733382079,                 0,      -4.272604298,    0.009758138158,     -0.2832122721,     -0.3492351962,     -0.3133550918,     -0.2329774234,     -0.8847172285,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,           9,      -6.983181049,      -3.837806135,      -3.877754779,      -1.495738621,      -3.004133431,      0.9329898399,      0.1337528874,     -0.5738132167,                 0,                 0,                 0,    -0.01349159398,      0.1929999888,      -0.556688824,                 0,      -4.290099661,     0.01105962805,     -0.2969057683,     -0.3633095234,     -0.3248829399,     -0.2509770253,     -0.9669523133,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,           9,      -6.985421841,      -3.829750627,      -3.871129613,      -1.493518336,      -3.007654973,      0.9329898399,      0.1286476782,     -0.5466063991,                 0,                 0,                 0,    -0.01130525932,      0.1850788597,      -0.530164688,                 0,      -4.248863305,     0.01108887014,     -0.3188737418,     -0.3797185093,     -0.3379783007,     -0.2812696263,      -1.044304544,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,           9,      -6.993880669,      -3.821419343,      -3.868574917,       -1.49771099,      -2.994068658,      0.9329898399,      0.1236500763,     -0.5124922167,                 0,                 0,                 0,   -0.009369342928,      0.1765427321,     -0.4967597783,                 0,      -4.144697941,     0.01112962262,     -0.3499447596,     -0.3975628312,     -0.3538123964,     -0.3207926242,      -1.098770135,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,           9,      -7.005330473,      -3.809881097,      -3.869005109,      -1.503789157,      -2.979095949,      0.9329898399,      0.1192385739,     -0.4734881782,                 0,                 0,                 0,   -0.007230316799,      0.1680783642,     -0.4584305356,                 0,       -3.97093124,     0.08863985405,     -0.3846714132,     -0.4139494401,     -0.3716479806,     -0.3629110169,       -1.14220174,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,           9,      -7.017703197,      -3.794638314,      -3.869464342,      -1.509065021,      -2.978317702,      0.9329898399,      0.1154778832,     -0.4274094866,                 0,                 0,                 0,   -0.004077705046,      0.1595217401,      -0.412997367,                 0,      -3.701223772,      0.1103574236,     -0.4223446462,     -0.4275030114,     -0.3887465034,     -0.4049238326,      -1.191517904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         54,           9,      -7.030307778,      -3.776224475,      -3.870604607,      -1.513262291,      -2.971838852,      0.9329898399,      0.1125167281,      -0.372788348,                 0,                 0,                 0,   9.728636871e-05,      0.1508673428,     -0.3589849737,                 0,      -3.313181553,      0.1104261132,     -0.4605573052,      -0.437113238,      -0.406482124,     -0.4425481965,      -1.227739781,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         55,           9,      -7.044474321,      -3.755532537,      -3.873987305,      -1.517562565,      -2.966553944,      0.9329898399,      0.1106627357,     -0.3100834479,                 0,                 0,                 0,    0.005125355727,        0.14246906,     -0.2968173726,                 0,      -2.802058396,     0.05692827234,     -0.5004987553,     -0.4428880472,     -0.4267894313,      -0.476746684,      -1.257792286,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
