Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
36,0.774812,0,2.22575,-0,6.04797e-08,0,0,0,0,0,0,0.830329,1.07667,-0.0236431,1.35986,0.890298,-0.257588,0.00135423,8.98938e-05,2.64469e-05,0.00135747,1.12752,0,0,0,0,9.38978
37,0.776485,0,2.23054,-0,6.04794e-08,0,0,0,0,0,0,0.813335,1.07667,-0.023866,1.34956,0.892215,-0.253754,0.0013824,8.68211e-05,1.10622e-05,0.00138517,1.12752,0,0,0,0,9.4826
38,0.78142,0,2.24484,-0,6.04819e-08,0,0,0,0,0,0,0.796591,1.07667,-0.0238896,1.33953,0.897937,-0.242311,0.0014041,8.52887e-05,-4.3179e-06,0.00140669,1.12758,0,0,0,0,9.56867
39,0.789056,0,2.26706,-0,6.04877e-08,0,0,0,0,0,0,0.7802,1.07667,-0.0237312,1.32985,0.906825,-0.224534,0.00141829,8.45874e-05,-1.91014e-05,0.00142094,1.12772,0,0,0,0,9.64256
40,0.798758,0,2.2954,-0,6.04969e-08,0,0,0,0,0,0,0.764261,1.07667,-0.023413,1.32055,0.918161,-0.201862,0.00142449,8.38871e-05,-3.29744e-05,0.00142734,1.12795,0,0,0,0,9.69896
41,0.809943,0,2.32816,-0,6.05088e-08,0,0,0,0,0,0,0.748869,1.07667,-0.0229577,1.3117,0.931263,-0.175659,0.00142547,8.25722e-05,-4.60527e-05,0.0014286,1.12824,0,0,0,0,9.74275
42,0.836323,0,2.41883,-0,6.07899e-08,0,0,0,0,0,0,1.03013,1.07667,0.00951812,1.49013,0.96753,-0.103124,-0.000131412,0.000477939,2.77677e-05,0.000496453,1.13521,0,0,0,0,5.79481
43,0.840997,0,2.43224,-0,6.0788e-08,0,0,0,0,0,0,1.04131,1.07667,0.00830308,1.49787,0.972897,-0.0923902,-0.000116353,0.000500066,2.81945e-05,0.000514197,1.13516,0,0,0,0,5.89005
44,0.845415,0,2.44487,-0,6.07853e-08,0,0,0,0,0,0,1.05173,1.07667,0.00711873,1.50513,0.977949,-0.0822869,-0.000103712,0.000519404,2.87132e-05,0.000530435,1.1351,0,0,0,0,5.97421
45,0.848921,0,2.45481,-0,6.07815e-08,0,0,0,0,0,0,1.0614,1.07667,0.00597182,1.5119,0.981923,-0.0743388,-9.41094e-05,0.000536352,2.93474e-05,0.000545336,1.135,0,0,0,0,6.05169
46,0.852882,0,2.46603,-0,6.07771e-08,0,0,0,0,0,0,1.07037,1.07667,0.00486925,1.5182,0.98641,-0.065364,-8.44712e-05,0.000547466,2.95478e-05,0.000554732,1.13489,0,0,0,0,6.09913
47,0.855288,0,2.47265,-0,6.07709e-08,0,0,0,0,0,0,1.0787,1.07667,0.00381622,1.52408,0.989059,-0.0600674,-7.61553e-05,0.000555364,2.95073e-05,0.000561338,1.13474,0,0,0,0,6.12929
