"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         120,      -4.324915164,      -1.435319751,       -1.35839838,      -1.372594018,       1.143535458
          0,           0,         121,      -4.331534872,       -1.43162571,      -1.365016953,      -1.378152049,       1.136977618
          0,           0,         122,      -4.337783216,      -1.427704769,      -1.370933293,      -1.382608167,       1.130800998
          0,           0,         123,      -4.343221525,      -1.423793877,      -1.376169929,      -1.386243897,       1.125474625
          0,           0,         124,      -4.347482392,      -1.420015091,      -1.380742571,      -1.389292887,       1.121403642
          0,           0,         125,      -4.350383439,       -1.41641599,      -1.384728473,      -1.391931044,       1.118815646
          0,           0,         126,      -4.351953624,      -1.412996165,      -1.388292886,      -1.394291015,       1.117722788
          0,           0,         127,       -4.35233554,      -1.409747817,      -1.391642125,      -1.396493741,       1.117994517
          0,           0,         128,       -4.35178636,      -1.406691749,      -1.394973187,      -1.398672854,       1.119354237
          0,           0,         129,      -4.350558609,      -1.403866163,      -1.398420292,      -1.400975396,       1.121501073
          0,           0,         130,      -4.348879861,      -1.401319057,      -1.402041722,      -1.403543476,       1.124145988
          0,           0,         131,      -4.346948892,       -1.39909349,      -1.405832502,       -1.40649235,        1.12703301
          0,           0,         132,      -4.344937623,      -1.397219082,      -1.409753918,      -1.409887435,       1.129946708
          0,           0,         133,      -4.343008717,      -1.395718748,      -1.413764228,      -1.413745389,       1.132700458
          0,           0,         134,      -4.341317018,      -1.394615992,      -1.417841711,      -1.418044663,       1.135132691
          0,           0,         135,      -4.340002783,      -1.393934933,      -1.421995894,      -1.422743635,       1.137108089
          0,           0,         136,      -4.339178593,      -1.393706449,      -1.426255868,      -1.427784419,       1.138523809
          0,           0,         137,      -4.338898617,      -1.393951111,       -1.43063947,      -1.433090759,        1.13933588
          0,           0,         138,      -4.339157932,       -1.39468845,      -1.435140392,      -1.438573939,       1.139557217
          0,           0,         139,      -4.339920227,      -1.395946547,      -1.439729658,      -1.444143271,       1.139228005
          0,           0,         140,      -4.341124937,       -1.39775785,      -1.444343956,      -1.449694569,       1.138410923
          0,           0,         141,      -4.342694897,      -1.400150398,      -1.448885461,      -1.455106659,       1.137182019
