"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         141,      -6.894028619,       -6.65047056,      -7.178519759,      -7.371386047
          0,           0,         142,      -6.931818038,      -6.696652409,      -7.225928051,      -7.415385291
          0,           0,         143,      -6.960135371,      -6.737260282,      -7.274791298,      -7.459731838
          0,           0,         144,      -6.976873339,      -6.768498789,      -7.323780282,      -7.504456167
          0,           0,         145,      -6.982807322,      -6.789156469,      -7.362360438,      -7.535695267
          0,           0,         146,      -6.984141597,      -6.802969997,       -7.39068594,      -7.561444117
          0,           0,         147,      -6.982449112,      -6.810949613,      -7.410151075,      -7.582064911
          0,           0,         148,      -6.980691816,      -6.816595546,       -7.42478631,      -7.600328138
          0,           0,         149,      -6.981898772,      -6.823086433,      -7.433021638,      -7.616621245
          0,           0,         150,      -6.987091771,      -6.832015298,      -7.437397332,      -7.631026137
          0,           0,         151,      -6.996443661,      -6.843949561,      -7.441576908,      -7.644867489
          0,           0,         152,      -7.009717887,      -6.858727946,      -7.446358784,      -7.658482749
          0,           0,         153,      -7.026526204,      -6.875732151,      -7.451978104,      -7.671365212
          0,           0,         154,      -7.046330853,      -6.893950035,      -7.458927241,      -7.682895215
          0,           0,         155,      -7.068387743,      -6.912077689,      -7.467452941,      -7.692670176
          0,           0,         156,      -7.091809159,      -6.928764333,      -7.477618152,       -7.70051778
          0,           0,         157,      -7.115716694,      -6.942997936,      -7.489443666,      -7.706591629
          0,           0,         158,      -7.139407443,      -6.954479887,      -7.502830394,      -7.711530758
          0,           0,         159,      -7.162462668,      -6.963754621,      -7.517530407,      -7.716415967
          0,           0,         160,      -7.184773675,      -6.972032612,      -7.533273726,      -7.722559513
          0,           0,         161,      -7.206495075,      -6.980850083,      -7.549937791,      -7.731334288
          0,           0,         162,      -7.227965209,      -6.991761806,      -7.567759175,       -7.74432301
          0,           0,         163,       -7.24950452,      -7.006070467,      -7.588561537,      -7.765637245
          0,           0,         164,      -7.263793632,       -7.01840401,       -7.59454066,      -7.776746437
          0,           0,         165,      -7.283681304,      -7.040294991,      -7.607806562,      -7.799292634
          0,           0,         166,      -7.301561463,      -7.063965705,      -7.628186725,       -7.82563877
          0,           0,         167,      -7.319662479,      -7.092621377,      -7.644973765,      -7.857306967
          0,           0,         168,      -7.335788827,      -7.123200483,       -7.66176088,      -7.893075102
          0,           0,         169,      -7.348615237,      -7.151676734,      -7.679901511,      -7.924628755
          0,           0,         170,      -7.358353959,      -7.175318562,      -7.697374854,      -7.950324184
          0,           0,         171,      -7.365953953,      -7.191941605,      -7.713069054,      -7.968214155
          0,           0,         172,      -7.372615516,      -7.200653498,      -7.727260539,      -7.976801569
          0,           0,         173,      -7.379741069,       -7.20262696,      -7.740278511,       -7.97716852
          0,           0,         174,      -7.388644169,      -7.200580065,      -7.752024788,      -7.972473814
          0,           0,         175,      -7.400362777,      -7.197615716,      -7.762708427,      -7.966338195
          0,           0,         176,      -7.415661118,      -7.196416062,      -7.773021435,       -7.96180683
          0,           0,         177,      -7.435042894,      -7.198964344,      -7.783766709,      -7.961096126
          0,           0,         178,      -7.458724859,       -7.20656563,      -7.795734868,      -7.965690066
          0,           0,         179,      -7.486596464,      -7.219982223,      -7.809810577,      -7.976565731
          0,           0,         180,      -7.518188738,      -7.239589878,      -7.827121316,      -7.994601458
          0,           0,         181,      -7.552632674,      -7.265498009,      -7.850049356,       -8.02238109
          0,           0,         182,      -7.580421294,      -7.291786553,      -7.869948972,      -8.057007954
          0,           0,         183,      -7.613131057,      -7.326752916,      -7.880368561,      -8.076709541
          0,           0,         184,      -7.639695519,      -7.362322782,       -7.91504877,        -8.1134257
          0,           0,         185,      -7.664444715,      -7.401795121,      -7.944646809,       -8.15518074
          0,           0,         186,      -7.681962764,      -7.440462034,         -7.975736,      -8.202308785
          0,           0,         187,      -7.693176149,      -7.473530281,      -8.009625359,       -8.24239318
          0,           0,         188,      -7.699322323,      -7.498706127,       -8.04097561,      -8.274131245
          0,           0,         189,      -7.703350013,      -7.515472946,      -8.068259866,      -8.296807528
          0,           0,         190,       -7.70753506,      -7.524854284,       -8.09031029,      -8.309821216
          0,           0,         191,      -7.713805925,      -7.529357072,      -8.107570208,      -8.314544685
          0,           0,         192,      -7.723660504,      -7.532171312,      -8.120719583,      -8.314536944
          0,           0,         193,      -7.737936493,       -7.53604044,      -8.130791661,      -8.313672129
          0,           0,         194,      -7.757002009,      -7.542848986,      -8.139827864,      -8.314726798
          0,           0,         195,      -7.780940092,      -7.553764031,      -8.149876858,      -8.319459192
          0,           0,         196,      -7.809588784,       -7.56944842,      -8.162322846,      -8.328982038
          0,           0,         197,      -7.842479329,      -7.590179006,      -8.178072258,      -8.343958265
          0,           0,         198,      -7.878740876,      -7.615913721,      -8.197860504,      -8.364776334
          0,           0,         199,      -7.917005356,      -7.646330042,      -8.222485137,      -8.391950088
          0,           0,         200,      -7.954932903,      -7.680543427,      -8.253652699,      -8.427974147
          0,           0,         201,      -7.984149337,      -7.712850333,      -8.272215378,      -8.456195529
          0,           0,         202,      -8.014358081,      -7.750752005,      -8.299553959,      -8.489186186
          0,           0,         203,      -8.037406372,       -7.78664907,      -8.336974603,      -8.526909667
          0,           0,         204,      -8.054580529,       -7.82220102,      -8.369764974,      -8.567876106
          0,           0,         205,      -8.065191002,      -7.854104987,      -8.400376809,      -8.609335313
          0,           0,         206,      -8.070716561,      -7.879432214,      -8.429460465,      -8.642779385
