"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
         69,              0.69,      -9.648819531,      -10.45562172,      -10.82539918,                 0,       1.633477142,  -0.0008345214989,      0.1188052107
         70,               0.7,      -9.583643845,      -10.39043487,      -10.76352589,                 0,       1.629600445,  -0.0008060257207,      0.1187899197
         71,              0.71,      -9.557188803,      -10.36327949,      -10.73970233,                 0,        1.62576017,  -0.0007673048091,      0.1187747565
         72,              0.72,      -9.571080451,      -10.37779039,      -10.75036931,                 0,       1.622011339,  -0.0007369529268,      0.1187598299
         73,              0.73,      -9.616057163,      -10.42408745,      -10.79097978,                 0,        1.61835925,  -0.0007163890827,      0.1187452489
         74,              0.74,      -9.676325988,      -10.48390948,      -10.85336137,                 0,       1.614798912,  -0.0006974939845,      0.1187311249
         75,              0.75,      -9.723973877,      -10.52815793,        -10.916047,                 0,       1.611330865,  -0.0006726752727,      0.1187175804
         76,              0.76,      -9.730293817,      -10.53175502,      -10.94567785,                 0,       1.607943745,  -0.0006384551117,      0.1187047528
         77,              0.77,      -9.702734285,       -10.5049836,        -10.938452,                 0,       1.604604869,  -0.0005954323657,       0.118692796
         78,              0.78,      -9.674525281,      -10.47903757,      -10.92338869,                 0,       1.601342904,  -0.0005475557364,      0.1186818832
         79,              0.79,      -9.667403567,      -10.47314474,      -10.92110731,                 0,       1.598142811,  -0.0005000287369,      0.1186722139
         80,               0.8,      -9.686181232,      -10.49168279,      -10.93604089,                 0,       1.595004332,  -0.0004559947976,      0.1186640096
         81,              0.81,      -9.720142441,      -10.52415643,      -10.95814268,                 0,       1.591935117,  -0.0004138059436,       0.118657504
         82,              0.82,      -9.745706581,      -10.54809811,      -10.96561967,                 0,        1.58893668,  -0.0003693856215,      0.1186529348
         83,              0.83,      -9.744334616,      -10.54621957,      -10.94540195,                 0,       1.586000184,  -0.0003189351843,      0.1186505358
         84,              0.84,       -9.72280194,      -10.52524554,      -10.91110163,                 0,       1.583105858,  -0.0002602421131,      0.1186505277
         85,              0.85,      -9.700663594,      -10.50382231,      -10.88326962,                 0,       1.580243871,  -0.0001942965092,      0.1186531114
         86,              0.86,      -9.690920717,      -10.49458694,      -10.87198384,                 0,       1.577421072,  -0.0001253018323,      0.1186584617
         87,              0.87,       -9.69683795,      -10.50084278,      -10.87876881,                 0,       1.574648155,  -5.748289692e-05,      0.1186667232
         88,              0.88,      -9.714831929,      -10.51872736,      -10.90050909,                 0,       1.571929886,   8.155463448e-06,      0.1186780057
         89,              0.89,      -9.736900549,      -10.53987061,       -10.9302481,                 0,       1.569265835,   7.315594491e-05,      0.1186923804
         90,               0.9,      -9.753388813,      -10.55496232,      -10.95806929,                 0,       1.566652974,   0.0001393966706,        0.11870988
         91,              0.91,      -9.758379165,       -10.5590961,      -10.97572264,                 0,       1.564085899,   0.0002075202816,      0.1187304991
         92,              0.92,      -9.754517078,      -10.55537451,      -10.98298076,                 0,       1.561591744,   0.0002766713222,      0.1187541941
         93,              0.93,      -9.748939912,      -10.55044132,      -10.98475058,                 0,       1.559146941,   0.0003454559961,      0.1187808853
         94,              0.94,      -9.748264797,      -10.55023417,      -10.98680909,                 0,       1.556737576,   0.0004123608689,      0.1188104564
         95,              0.95,      -9.754203963,      -10.55606806,      -10.99085191,                 0,       1.554366663,   0.0004764809902,      0.1188427539
         96,              0.96,      -9.763242336,      -10.56456861,      -10.99398662,                 0,       1.552035707,   0.0005380828438,      0.1188775867
         97,              0.97,      -9.769543902,      -10.57032777,      -10.99176267,                 0,       1.549744582,   0.0005981809263,      0.1189147257
         98,              0.98,      -9.769419993,       -10.5700389,      -10.98265027,                 0,       1.547490571,   0.0006577151402,      0.1189539029
         99,              0.99,      -9.764028263,      -10.56492921,      -10.96995203,                 0,        1.54527009,   0.0007169795107,      0.1189948127
        100,                 1,      -9.757735103,      -10.55911726,      -10.95914293,                 0,       1.543080945,     0.00077538518,      0.1190371126
        101,              1.01,      -9.754659549,      -10.55642261,       -10.9543453,                 0,       1.540923273,   0.0008317398084,      0.1190804252
        102,              1.02,      -9.756592153,      -10.55842796,      -10.95699315,                 0,       1.538798595,   0.0008848486223,      0.1191243414
        103,              1.03,      -9.762750421,      -10.56426402,      -10.96606021,                 0,       1.536708193,   0.0009340310666,       0.119168424
        104,              1.04,      -9.770574517,       -10.5714477,      -10.97872669,                 0,       1.534652063,   0.0009792841119,      0.1192122128
        105,              1.05,      -9.777120733,      -10.57726491,       -10.9914443,                 0,       1.532628999,    0.001020747817,       0.119255229
        106,              1.06,      -9.780658207,      -10.58025482,      -11.00146918,                 0,       1.530637236,    0.001058366085,      0.1192969814
        107,              1.07,      -9.781479654,       -10.5808432,      -11.00798473,                 0,       1.528674899,    0.001091864075,       0.119336972
        108,              1.08,      -9.781863545,      -10.58118663,      -11.01256784,                 0,        1.52677862,    0.001120697482,      0.1193747008
        109,              1.09,      -9.782661331,       -10.5819622,      -11.01517574,                 0,       1.524907667,    0.001144545701,      0.1194096694
        110,               1.1,      -9.784975404,      -10.58414214,      -11.01702207,                 0,       1.523065085,    0.001163101337,      0.1194413882
        111,              1.11,      -9.788054028,      -10.58696947,      -11.01764233,                 0,       1.521248994,      0.0011763253,       0.119469379
        112,              1.12,      -9.790435608,      -10.58913093,      -11.01625861,                 0,       1.519458978,    0.001184452289,      0.1194931778
        113,              1.13,      -9.791182408,      -10.58976561,       -11.0127709,                 0,       1.517694651,    0.001187787065,      0.1195123372
        114,              1.14,      -9.790500569,      -10.58907627,      -11.00826352,                 0,       1.515955162,    0.001186510359,       0.119526429
        115,              1.15,      -9.789457515,      -10.58806776,      -11.00447567,                 0,       1.514239793,    0.001180428553,      0.1195350465
        116,              1.16,      -9.789184048,      -10.58777251,      -11.00286119,                 0,       1.512548135,     0.00116927154,       0.119537806
        117,              1.17,        -9.7903127,      -10.58873264,      -11.00407843,                 0,       1.510880196,    0.001152854726,      0.1195343485
        118,              1.18,      -9.792794698,      -10.59085524,       -11.0079459,                 0,       1.509236205,    0.001130992088,      0.1195243417
        119,              1.19,      -9.796035786,      -10.59359654,      -11.01364791,                 0,        1.50761744,    0.001103650139,      0.1195074817
        120,               1.2,      -9.799157996,      -10.59621333,      -11.01987447,                 0,       1.506023653,    0.001070912894,      0.1194834943
