"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         189,     -0.5276663066,       2.648949971,       2.740808506
          0,           0,         190,     -0.5276663054,       2.648962382,       2.740820914
          0,           0,         191,     -0.5276663067,       2.648943772,       2.740802307
          0,           0,         192,     -0.5276663092,       2.648908264,       2.740766807
          0,           0,         193,      -0.527666307,       2.648935454,       2.740793991
          0,           0,         194,      -0.527666307,       2.648937231,       2.740795768
          0,           0,         195,     -0.5276663037,       2.648977921,        2.74083645
          0,           0,         196,     -0.5276663094,       2.648897007,       2.740755551
          0,           0,         197,     -0.5276663065,       2.648937267,       2.740795803
          0,           0,         198,     -0.5276663105,       2.648882682,       2.740741229
          0,           0,         199,     -0.5276663105,       2.648882047,       2.740740594
          0,           0,         200,      -0.527666308,       2.648917466,       2.740776007
          0,           0,         201,     -0.5276663058,       2.648950306,       2.740808841
          0,           0,         202,     -0.5276663088,       2.648907167,        2.74076571
          0,           0,         203,     -0.5276663093,       2.648903906,       2.740762449
          0,           0,         204,     -0.5276663084,       2.648917777,       2.740776318
          0,           0,         205,     -0.5276663064,       2.648944577,       2.740803113
          0,           0,         206,     -0.5276663068,       2.648936661,       2.740795198
          0,           0,         207,      -0.527666309,       2.648902434,       2.740760977
          0,           0,         208,     -0.5276663059,       2.648948625,       2.740807159
          0,           0,         209,     -0.5276663071,       2.648932381,       2.740790919
          0,           0,         210,     -0.5276663095,       2.648897516,       2.740756061
          0,           0,         211,     -0.5276663098,       2.648890077,       2.740748623
          0,           0,         212,     -0.5276663084,       2.648909328,        2.74076787
          0,           0,         213,     -0.5276663116,       2.648867114,       2.740725665
          0,           0,         214,     -0.5276663087,        2.64891002,       2.740768562
          0,           0,         215,     -0.5276663084,       2.648914159,       2.740772701
          0,           0,         216,     -0.5276663074,       2.648928269,       2.740786808
          0,           0,         217,     -0.5276663078,       2.648921876,       2.740780417
          0,           0,         218,     -0.5276663094,       2.648893936,       2.740752481
          0,           0,         219,     -0.5276663126,       2.648844664,       2.740703219
          0,           0,         220,     -0.5276663158,       2.648793858,       2.740652422
          0,           0,         221,      -0.527666318,       2.648761923,       2.740620492
          0,           0,         222,     -0.5276663148,        2.64881106,       2.740669621
          0,           0,         223,     -0.5276663118,       2.648853759,       2.740712312
          0,           0,         224,     -0.5276663118,       2.648852331,       2.740710884
          0,           0,         225,      -0.527666306,       2.648936837,       2.740795374
          0,           0,         226,     -0.5276663118,       2.648856516,       2.740715068
          0,           0,         227,     -0.5276663182,       2.648764353,       2.740622923
          0,           0,         228,     -0.5276663114,       2.648867474,       2.740726024
          0,           0,         229,     -0.5276663113,       2.648868753,       2.740727303
          0,           0,         230,     -0.5276663114,       2.648868203,       2.740726753
          0,           0,         231,     -0.5276663139,       2.648833153,       2.740691709
          0,           0,         232,     -0.5276663116,         2.6488688,        2.74072735
          0,           0,         233,     -0.5276663048,        2.64896756,       2.740826091
          0,           0,         234,     -0.5276663077,       2.648922261,       2.740780801
