"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          74,      -7.248673474,      -6.774378879,       -7.39526959,      -7.295610768,      -6.667415206,      -11.45362279
          0,           0,          75,      -7.253160629,        -6.7780551,      -7.424256826,      -7.314516968,      -6.671574403,      -11.45779169
          0,           0,          76,      -7.258201504,      -6.782475519,      -7.454103352,      -7.333293942,      -6.676250132,      -11.46233142
          0,           0,          77,      -7.263805954,       -6.78760567,      -7.484310567,      -7.351654851,      -6.681462385,      -11.46726117
          0,           0,          78,      -7.269980352,      -6.793412099,      -7.514345695,      -7.369374984,      -6.687228601,      -11.47250484
          0,           0,          79,      -7.276732795,       -6.79986086,      -7.543672469,      -7.386301656,      -6.693569713,      -11.47800147
          0,           0,          80,      -7.284058437,      -6.806920652,      -7.571785386,      -7.402368017,      -6.700493249,      -11.48381648
          0,           0,          81,      -7.291936997,      -6.814552594,      -7.598235948,      -7.417587284,      -6.707989648,      -11.49002399
          0,           0,          82,      -7.300341934,      -6.822720707,       -7.62264813,      -7.432035767,      -6.716041907,      -11.49665172
          0,           0,          83,      -7.309241233,      -6.831389886,      -7.644710413,      -7.445819311,      -6.724626013,      -11.50367302
          0,           0,          84,      -7.318596273,      -6.840525518,      -7.664148512,      -7.459036907,        -6.7337092,      -11.51105499
          0,           0,          85,      -7.328368783,      -6.850093546,      -7.680691052,      -7.471748447,      -6.743257609,      -11.51874024
          0,           0,          86,      -7.338515029,      -6.860059927,      -7.694040516,      -7.483945329,      -6.753229723,        -11.526713
          0,           0,          87,      -7.348988093,      -6.870390942,      -7.703867876,      -7.495530969,      -6.763578987,      -11.53494806
          0,           0,          88,      -7.359742549,      -6.881053137,       -7.70984548,      -7.506317657,       -6.77425928,      -11.54341641
          0,           0,          89,      -7.370730245,      -6.892014051,      -7.711712658,      -7.516032188,      -6.785220348,      -11.55209722
          0,           0,          90,      -7.381904144,       -6.90324284,      -7.709360329,      -7.524342203,      -6.796411867,      -11.56100324
          0,           0,          91,      -7.393220433,       -6.91471126,       -7.70289992,       -7.53089825,      -6.807785854,      -11.57013768
          0,           0,          92,       -7.40463805,      -6.926393364,      -7.692677256,      -7.535381582,      -6.819296303,      -11.57948741
          0,           0,          93,      -7.416117285,      -6.938261544,      -7.679260197,      -7.537549077,      -6.830897764,      -11.58902522
          0,           0,          94,      -7.427620867,      -6.950290245,      -7.663358114,      -7.537291938,      -6.842547143,      -11.59872543
          0,           0,          95,       -7.43911608,      -6.962454957,      -7.645721112,      -7.534650802,      -6.854205858,      -11.60856469
          0,           0,          96,      -7.450570099,      -6.974732929,      -7.627062035,      -7.529812022,      -6.865834697,      -11.61852716
          0,           0,          97,      -7.461964963,      -6.987103208,      -7.608006146,      -7.523083056,      -6.877410917,      -11.62859772
          0,           0,          98,        -7.4732828,      -6.999546984,      -7.589064916,      -7.514842674,      -6.888912229,      -11.63876289
          0,           0,          99,      -7.484509296,      -7.012047727,      -7.570633875,      -7.505499568,      -6.900320587,      -11.64901286
          0,           0,         100,      -7.495632685,      -7.024590259,      -7.553002457,      -7.495450798,      -6.911620919,      -11.65933892
          0,           0,         101,      -7.506645221,       -7.03716221,      -7.536369911,      -7.485058238,      -6.922802764,      -11.66973682
          0,           0,         102,      -7.517542001,      -7.049752157,      -7.520859101,      -7.474623149,       -6.93385916,      -11.68019596
          0,           0,         103,      -7.528322525,       -7.06235219,      -7.506539379,      -7.464394082,      -6.944788351,      -11.69071132
          0,           0,         104,      -7.538982563,      -7.074950527,      -7.493438231,      -7.454561951,       -6.95558506,      -11.70127813
