"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         167,      -4.117130274,      -3.355509782,      -3.396006874,      -2.077965516,      -10.24088866
          0,           0,         168,      -4.114050298,      -3.351498148,      -3.392087589,      -2.075102995,       -10.2356317
          0,           0,         169,      -4.110810814,      -3.347030955,      -3.388024725,      -2.072065603,      -10.23052485
          0,           0,         170,      -4.107402291,      -3.342164199,      -3.383823419,      -2.068841129,      -10.22559156
          0,           0,         171,      -4.103818069,      -3.336968772,      -3.379491507,       -2.06542047,      -10.22073944
          0,           0,         172,      -4.100054753,      -3.331524562,      -3.375039039,      -2.061798216,      -10.21574729
          0,           0,         173,      -4.096112387,      -3.325914338,      -3.370477408,       -2.05797301,      -10.21080161
          0,           0,         174,      -4.091994412,      -3.320218036,      -3.365818206,      -2.053947631,      -10.20603235
          0,           0,         175,      -4.087707425,      -3.314507926,      -3.361071956,      -2.049728808,       -10.2015585
          0,           0,         176,      -4.083260757,      -3.308844964,      -3.356246887,      -2.045326795,      -10.19733136
          0,           0,         177,      -4.078665948,       -3.30327648,       -3.35134791,      -2.040754761,      -10.19320682
          0,           0,         178,      -4.073936162,      -3.297835193,      -3.346375933,       -2.03602805,      -10.18895601
          0,           0,         179,      -4.069085633,      -3.292539503,      -3.341327631,      -2.031163428,      -10.18480075
          0,           0,         180,      -4.064129187,      -3.287394898,      -3.336195739,      -2.026178379,      -10.18096778
          0,           0,         181,      -4.059081918,      -3.282396294,      -3.330969888,      -2.021090521,      -10.17742575
          0,           0,         182,      -4.053959039,      -3.277531102,       -3.32563796,      -2.015917227,      -10.17410653
          0,           0,         183,      -4.048775927,      -3.272782757,      -3.320187869,      -2.010675464,      -10.17075398
          0,           0,         184,      -4.043548355,      -3.268134452,      -3.314609647,      -2.005381868,      -10.16724166
          0,           0,         185,      -4.038292887,      -3.263572758,      -3.308897656,      -2.000053033,       -10.1638029
          0,           0,         186,      -4.033027363,      -3.259090864,      -3.303052726,      -1.994705978,      -10.16057359
          0,           0,         187,      -4.027771426,      -3.254691131,      -3.297083999,      -1.989358707,      -10.15753211
          0,           0,         188,      -4.022547024,       -3.25038675,      -3.291010323,      -1.984030832,      -10.15459298
          0,           0,         189,      -4.017378781,      -3.246202371,      -3.284861005,      -1.978744105,      -10.15156979
          0,           0,         190,      -4.012294187,      -3.242173624,      -3.278675856,      -1.973522826,      -10.14841071
          0,           0,         191,      -4.007323594,      -3.238345637,      -3.272504552,      -1.968394087,      -10.14528408
          0,           0,         192,      -4.002499894,      -3.234770641,      -3.266405267,      -1.963387691,      -10.14239276
          0,           0,         193,      -3.997857957,      -3.231504919,      -3.260442794,       -1.95853584,      -10.13968817
          0,           0,         194,      -3.993433816,      -3.228605289,       -3.25468625,      -1.953872531,       -10.1371639
          0,           0,         195,      -3.989263585,      -3.226125381,      -3.249206516,      -1.949432655,      -10.13466426
          0,           0,         196,      -3.985382245,      -3.224111906,      -3.244073618,      -1.945250912,      -10.13218092
          0,           0,         197,       -3.98182227,       -3.22260107,      -3.239354122,      -1.941360524,      -10.12993048
          0,           0,         198,      -3.978612227,      -3.221615276,      -3.235108683,       -1.93779187,      -10.12803996
          0,           0,         199,       -3.97577537,       -3.22116021,       -3.23138979,      -1.934571081,      -10.12643131
          0,           0,         200,      -3.973328315,      -3.221222408,      -3.228239734,      -1.931718669,      -10.12506758
          0,           0,         201,      -3.971279862,       -3.22176742,      -3.225688809,      -1.929248274,      -10.12383016
          0,           0,         202,      -3.969630013,      -3.222738713,      -3.223753765,      -1.927165582,      -10.12275882
          0,           0,         203,      -3.968369246,      -3.224057515,      -3.222436473,      -1.925467462,      -10.12184898
          0,           0,         204,      -3.967478119,      -3.225623843,      -3.221722852,      -1.924141403,      -10.12120572
          0,           0,         205,      -3.966927247,      -3.227318962,      -3.221582096,      -1.923165302,      -10.12074663
          0,           0,         206,      -3.966677713,      -3.229009521,      -3.221966258,      -1.922507622,      -10.12026728
          0,           0,         207,      -3.966681944,      -3.230553465,      -3.222810319,      -1.922128004,      -10.11969136
          0,           0,         208,      -3.966885125,      -3.231807646,      -3.224032896,      -1.921978348,      -10.11897506
          0,           0,         209,      -3.967227077,      -3.232636749,      -3.225537731,      -1.922004354,      -10.11803589
          0,           0,         210,      -3.967644621,        -3.2329228,      -3.227216171,       -1.92214751,      -10.11703031
          0,           0,         211,       -3.96807432,       -3.23257425,      -3.228950728,      -1.922347494,      -10.11591276
          0,           0,         212,      -3.968455446,      -3.231533457,      -3.230619794,       -1.92254483,      -10.11457472
          0,           0,         213,      -3.968732982,      -3.229781461,      -3.232103367,      -1.922683687,      -10.11278527
          0,           0,         214,      -3.968860429,      -3.227339326,      -3.233289533,      -1.922714591,      -10.11061732
          0,           0,         215,      -3.968802171,      -3.224265805,      -3.234081196,      -1.922596868,      -10.10807078
          0,           0,         216,       -3.96853519,      -3.220651753,      -3.234402411,      -1.922300588,      -10.10536436
          0,           0,         217,      -3.968049935,      -3.216612125,      -3.234203592,      -1.921807835,      -10.10270169
          0,           0,         218,      -3.967350298,      -3.212276739,      -3.233464917,        -1.9211132,      -10.09999731
