"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
89, 2.232000045500000e-02, -2.933466138466976e-02, -3.096050440934105e-02, 1.278691688727300e-01, 5.289672893797227e-01, -5.484183317836758e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.371331666924956e-02
90, 1.789999939500000e-02, -2.655180377395786e-02, -9.873774678572154e-02, 2.356104764810114e-01, 5.348730156114320e-01, -2.200179708380822e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.932224803339937e-02
91, 1.394999958600000e-02, -2.366092193648049e-02, -1.688468810624799e-01, 3.523026683990599e-01, 5.283182674902422e-01, -3.914008344728265e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.238846768107791e-02
92, 1.049000024800000e-02, -2.067897515997625e-02, -2.399476167381366e-01, 4.769627128314844e-01, 5.051868958310279e-01, -5.626130859135701e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.137896407371385e-02
93, 7.519999985000000e-03, -1.761238622031886e-02, -3.083262674725120e-01, 6.037082272648741e-01, 4.612679505600074e-01, -7.277342797107605e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.379964031551876e-02
94, 5.040000193000000e-03, -1.446899727546776e-02, -3.715032405647273e-01, 7.283472002816717e-01, 3.922445565255640e-01, -8.761328022746036e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.943977733129784e-02
95, 3.049999941000000e-03, -1.125802979845564e-02, -4.229773546166404e-01, 8.396746100612601e-01, 2.959603327507612e-01, -9.984822778308731e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.190013302954346e-02
96, 1.560000004000000e-03, -8.014497546353829e-03, -4.612661986666540e-01, 9.297880271027092e-01, 1.707869944250262e-01, -1.076091840215183e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.551713544589421e-03
97, 5.600000150000000e-04, -4.740389704705830e-03, -4.817256205130125e-01, 9.869838347647270e-01, 3.633215806519778e-02, -1.091938131704661e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.495810214842784e-04
98, 5.999999800000000e-05, -1.500551917827062e-03, -4.741156175293779e-01, 1.007386587491435e+00, -8.890641978878940e-02, -1.074470326737981e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.070175121619143e-02
99, 0.000000000000000e+00, 0.000000000000000e+00, -4.523681893506428e-01, 9.945438604640054e-01, -1.612977817625816e-01, -1.053328119895858e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.339992459547169e-02
100, 5.999999800000000e-05, 1.380962361969295e-03, -4.274621825335433e-01, 9.551824222132960e-01, -2.324865263384568e-01, -1.009667255120348e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.855312893264781e-02
101, 5.600000150000000e-04, 4.143006184180617e-03, -3.717630255989305e-01, 8.767714721652075e-01, -3.641392141701933e-01, -8.573693689875483e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.840639767606437e-02
102, 1.560000004000000e-03, 6.772738415120653e-03, -2.788242466757826e-01, 7.291517271140434e-01, -4.957315439061328e-01, -6.243715986821042e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.478995136212927e-01
103, 3.049999941000000e-03, 9.266896807453122e-03, -1.682810952547280e-01, 5.569603357670414e-01, -5.754565488325988e-01, -3.584947417822134e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.823152822688694e-01
104, 5.040000193000000e-03, 1.164992338686052e-02, -5.202264503975614e-02, 3.749045837266572e-01, -6.102513125194815e-01, -7.757820498151783e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.816489210020500e-01
105, 7.519999985000000e-03, 1.391361057579199e-02, 6.651255634847315e-02, 2.007907556079621e-01, -6.149741863348996e-01, 2.064204256273012e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.610025779751588e-01
106, 1.049000024800000e-02, 1.606570481514170e-02, 1.672679973976675e-01, 5.572290147671208e-02, -5.896108140852322e-01, 4.445796075554465e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.739448517301244e-02
107, 1.394999958600000e-02, 1.811261823116107e-02, 2.194716199194332e-01, -3.655376743101427e-02, -5.295032893558154e-01, 5.630864710628795e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.181262529956446e-02
108, 1.789999939500000e-02, 2.006028546549682e-02, 2.439475526882679e-01, -9.457526478485909e-02, -4.625202615659172e-01, 6.201275653097457e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.300840302700009e-02
109, 2.232000045500000e-02, 2.190668656266464e-02, 3.125401149176295e-01, -1.802231925342705e-01, -4.259728994450409e-01, 7.833866503482050e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.327622746933775e-01
110, 2.723000012300000e-02, 2.366721301957058e-02, 4.448789698094011e-01, -3.141417280118173e-01, -4.171553782478785e-01, 1.103478887312051e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.997351971679960e-01
111, 3.260000050100000e-02, 2.533793574319877e-02, 5.785390286347554e-01, -4.466766120307687e-01, -4.046807015568831e-01, 1.434366979996845e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.591254320179060e-01
112, 3.844000026600000e-02, 2.692939419564809e-02, 6.530205681646457e-01, -5.258561484000782e-01, -3.731645183770553e-01, 1.627420331488248e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.117427031672695e-02
113, 4.473999887700000e-02, 2.844530239821804e-02, 6.656564150439777e-01, -5.479877473185699e-01, -3.305376596095223e-01, 1.667721514017569e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.515460666142915e-02
114, 5.149000138000000e-02, 2.988981759056911e-02, 6.466426863617565e-01, -5.390503641619527e-01, -2.890899980855961e-01, 1.625097560104018e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.534248746313521e-02
115, 5.869000032500000e-02, 3.126906925627495e-02, 6.197021299394480e-01, -5.206835241697086e-01, -2.535902835337254e-01, 1.559023822271899e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.833016745250805e-02
116, 6.633000075800000e-02, 3.258682280367813e-02, 5.921741135159487e-01, -5.002368671094681e-01, -2.235246088908356e-01, 1.490105857432255e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.471709066238327e-02
117, 7.440000027400000e-02, 3.384685167919749e-02, 5.645290237129553e-01, -4.786400038959179e-01, -1.976487165033371e-01, 1.420674865419875e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.127433268103133e-02
118, 8.290000259900000e-02, 3.505417499382589e-02, 5.371502638165377e-01, -4.564547653881953e-01, -1.753454142193321e-01, 1.351614222682587e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.855655314122990e-02
119, 9.181000292300000e-02, 3.621067314768722e-02, 5.105973180621821e-01, -4.344030270695892e-01, -1.560856768912048e-01, 1.284759362070612e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.703286609574559e-02
120, 1.011300012470000e-01, 3.732074490949914e-02, 4.850274862370246e-01, -4.127586753120300e-01, -1.393210754829486e-01, 1.220146910146105e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.629296467565329e-02
121, 1.108499988910000e-01, 3.838707977762710e-02, 4.601320419495497e-01, -3.913743352947930e-01, -1.246010345282551e-01, 1.157445473030103e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.423489164890545e-02
122, 1.209499984980000e-01, 3.941112277942567e-02, 4.362493902152219e-01, -3.706154647180195e-01, -1.116273978214984e-01, 1.097072038962838e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.977835949935525e-02
