"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          97,      -6.448003657,      -4.396016744,               -32,      -4.675426755,      -4.200304748,      -9.712083776
          0,           0,          98,      -6.450441051,      -4.395144945,               -32,      -4.675520794,      -4.197732886,      -9.707354657
          0,           0,          99,      -6.452167793,      -4.394421495,               -32,      -4.675780343,      -4.195366461,      -9.702804804
          0,           0,         100,       -6.45020005,      -4.393847289,               -32,      -4.676202761,       -4.19360398,      -9.698466394
          0,           0,         101,      -6.446334725,      -4.393421521,               -32,      -4.676784793,      -4.192552927,      -9.694344521
          0,           0,         102,      -6.444487528,      -4.393141264,               -32,      -4.677523417,      -4.192191036,      -9.690454593
          0,           0,         103,      -6.445678366,      -4.393001618,               -32,      -4.678418097,      -4.192345253,      -9.686804371
          0,           0,         104,      -6.447804251,      -4.392996889,               -32,      -4.679470175,      -4.192833857,      -9.683392718
          0,           0,         105,      -6.448651561,      -4.393121575,               -32,      -4.680677598,      -4.193533227,      -9.680209881
          0,           0,         106,      -6.447999435,      -4.393370616,               -32,      -4.682034999,      -4.194292006,      -9.677262875
          0,           0,         107,      -6.447355098,      -4.393739671,               -32,      -4.683535886,      -4.194972016,      -9.674544674
          0,           0,         108,      -6.447927042,      -4.394225375,               -32,      -4.685174351,      -4.195495433,      -9.672057915
          0,           0,         109,      -6.449442664,      -4.394825389,               -32,       -4.68694634,       -4.19586833,      -9.669821971
          0,           0,         110,      -6.450873363,      -4.395538206,               -32,      -4.688848541,      -4.196193023,      -9.667831521
          0,           0,         111,      -6.451654718,      -4.396362567,               -32,      -4.690877121,      -4.196605338,      -9.666096321
          0,           0,         112,      -6.452132597,      -4.397296868,               -32,      -4.693027927,      -4.197214473,      -9.664619023
          0,           0,         113,      -6.453022736,      -4.398338878,               -32,      -4.695297106,      -4.198087756,      -9.663396983
          0,           0,         114,      -6.454623328,       -4.39948569,               -32,      -4.697681555,      -4.199251174,      -9.662430372
